Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
DL Vettori,,295.0,187.0,57.0,2253.0,83.0,17.33,2715.0,82.98,0.0,4.0,23.0,,,295.0,277.0,14060.0,9674.0,305.0,,31.71,4.12,46.0,8.0,2.0,
DM Bravo,,122.0,117.0,14.0,3109.0,124.0,30.18,4434.0,70.11,4.0,18.0,9.0,,,,,,,0.0,,,,,,,
DM Jones,,164.0,161.0,25.0,6068.0,145.0,44.61,8362.0,72.56,7.0,46.0,6.0,,,,,,,0.0,,,,,,,
DNT Zoysa,,,,,,,,,,0.0,0.0,0.0,,,95.0,93.0,4259.0,3213.0,108.0,,29.75,4.52,39.4,2.0,1.0,
DPMD Jayawardene,,448.0,418.0,39.0,12650.0,144.0,33.37,16020.0,78.96,19.0,77.0,28.0,,,,,,,0.0,,,,,,,
DR Martyn,,208.0,182.0,51.0,5346.0,,40.8,6877.0,77.73,5.0,37.0,10.0,,,,,,,0.0,,,,,,,
DR Tuffey,,,,,,,,,,0.0,0.0,0.0,,,94.0,92.0,4333.0,3534.0,110.0,,32.12,4.89,39.3,2.0,0.0,
DS Lehmann,,117.0,101.0,22.0,3078.0,119.0,38.96,3784.0,81.34,4.0,17.0,4.0,,,,,,,0.0,,,,,,,
DW Fleming,,,,,,,,,,0.0,0.0,0.0,,,88.0,88.0,4619.0,3402.0,134.0,,25.38,4.41,34.4,4.0,1.0,
DW Steyn,,,,,,,,,,0.0,0.0,0.0,,,125.0,124.0,6256.0,5087.0,196.0,,25.95,4.87,31.9,4.0,3.0,
Dawlat Zadran,,,,,,,,,,0.0,0.0,0.0,,,82.0,80.0,3769.0,3423.0,115.0,,29.76,5.44,32.7,3.0,0.0,
E Chigumbura,,213.0,198.0,26.0,4340.0,117.0,25.23,5423.0,80.02,2.0,19.0,17.0,,,213.0,132.0,4339.0,4274.0,101.0,,42.31,5.91,42.9,1.0,0.0,
E Lewis,,70.0,67.0,5.0,2279.0,,36.75,2645.0,86.16,5.0,12.0,3.0,,,,,,,0.0,,,,,,,
EC Joyce,,78.0,77.0,8.0,2622.0,,38.0,3630.0,72.23,6.0,15.0,5.0,,,,,,,0.0,,,,,,,
EJ Chatfield,,,,,,,,,,0.0,0.0,0.0,,,114.0,112.0,6065.0,3618.0,140.0,,25.84,3.57,43.3,3.0,1.0,
EJG Morgan,,248.0,230.0,34.0,7701.0,148.0,39.29,8447.0,91.16,14.0,47.0,18.0,,,,,,,0.0,,,,,,,
F du Plessis,,143.0,136.0,20.0,5507.0,185.0,47.47,6215.0,88.6,12.0,35.0,3.0,,,,,,,0.0,,,,,,,
Fakhar Zaman,,92.0,91.0,6.0,3861.0,,45.42,4145.0,93.14,11.0,19.0,8.0,,,,,,,0.0,,,,,,,
G Gambhir,,147.0,143.0,11.0,5238.0,,39.68,6144.0,85.25,11.0,34.0,11.0,,,,,,,0.0,,,,,,,
G Kirsten,,185.0,185.0,19.0,6798.0,,40.95,9436.0,72.04,13.0,45.0,11.0,,,,,,,0.0,,,,,,,
GA Gooch,,125.0,122.0,6.0,4290.0,142.0,36.98,6932.0,61.88,8.0,23.0,4.0,,,,,,,0.0,,,,,,,
GA Hick,,120.0,118.0,15.0,3846.0,,37.33,5191.0,74.08,5.0,27.0,10.0,,,,,,,0.0,,,,,,,
GB Brent,,,,,,,,,,0.0,0.0,0.0,,,70.0,69.0,3390.0,2776.0,75.0,,37.01,4.91,45.2,3.0,0.0,
GB Hogg,,,,,,,,,,0.0,0.0,0.0,,,123.0,113.0,5564.0,4188.0,156.0,,26.84,4.51,35.6,3.0,2.0,
